period,primary_topic,sentiment_score,risk_intensity_score,uncertainty_score,finbert_positive,finbert_negative
Q4_2024,Autonomy and Full Self-Driving (FSD),0.1875,0.2667,0.3625,0.0992,0.0896
Q4_2024,Energy Storage Solutions,0.7,0.0,0.15,0.1452,0.03
Q4_2024,Guidance / Outlook,-0.1,0.3333,0.5333,0.0802,0.0227
Q4_2024,Manufacturing,0.6,0.2,0.2,0.1335,0.0248
Q4_2024,Market Demand and Sales Strategies,0.15,0.2,0.45,0.3802,0.1694
Q4_2024,Model Lineup and Production Updates,0.0,0.3,0.35,0.0589,0.0739
Q4_2024,Optimus Robot Development,0.4667,0.1333,0.3667,0.0726,0.0683
Q4_2024,Other,0.0833,0.0,0.0833,0.0671,0.0591
Q4_2024,Regulatory Challenges,-0.4,0.5333,0.6333,0.0614,0.0901
Q4_2024,Robotaxi Service,0.6,0.2667,0.3,0.0753,0.051
Q4_2025,4680 Battery Cell Production,-0.3,0.7,0.6,0.0545,0.1552
Q4_2025,AI and Compute Infrastructure,0.15,0.1875,0.4125,0.1072,0.0179
Q4_2025,Autonomy and Full Self-Driving (FSD),0.5143,0.2714,0.3143,0.1064,0.0822
Q4_2025,Capital Allocation,0.15,0.2,0.5,0.0973,0.0196
Q4_2025,Cost Management and Efficiency Initiatives,0.2667,0.2,0.3,0.2724,0.0977
Q4_2025,Energy Storage Solutions,0.6,0.0,0.3,0.1321,0.0117
Q4_2025,Global Expansion and Market Penetration,0.6,0.1,0.2,0.1596,0.0138
Q4_2025,Margins / Profitability,0.0,0.0,0.5,0.04,0.027
Q4_2025,Market Demand and Sales Strategies,0.6,0.0,0.4,0.654,0.232
Q4_2025,Model Lineup and Production Updates,0.2,0.1,0.4,0.1714,0.0132
Q4_2025,Optimus Robot Development,0.2571,0.1857,0.2857,0.2201,0.02
Q4_2025,Other,0.0889,0.0,0.0,0.0518,0.0723
Q4_2025,Regulation / Geopolitics,-0.3,0.7,0.6,0.04,0.1299
Q4_2025,Robotaxi Service,0.3818,0.0909,0.2818,0.1808,0.0423
