ticker,company_name,latest_quarter,latest_report_date,post_earnings_score,post_earnings_bias,one_week_score,one_week_bias,fundamental_1q_score,fundamental_1q_bias,medium_4q_score,medium_4q_bias,overall_score,overall_bias,ml_probability_bullish,ml_score,ml_direction,final_score,final_signal_scale,final_signal_zone,final_prediction,final_reaction_open_prediction,final_one_day_prediction,final_one_week_prediction,final_one_month_prediction,confidence,latest_eps_surprise_pct,latest_revenue_surprise_pct,latest_guidance_revenue_surprise_pct,latest_guidance_eps_surprise_pct,latest_guidance_revenue_mid_vs_reported_pct,latest_guidance_eps_mid_vs_actual_pct,latest_reaction_open_return_pct,latest_reaction_close_return_pct,latest_one_week_return_pct,latest_one_month_return_pct,latest_revenue_qoq_growth,latest_net_margin,latest_fcf_margin,quarters_with_price_reaction,quarters_with_consensus,quarters_with_guidance,signal_notes
CRWD,"CrowdStrike Holdings, Inc.",CY2026Q1,2026-03-03,35.9,bullish,45.66,strong_bullish,46.03,strong_bullish,51.17,strong_bullish,40.99,bullish,0.5044,-6.61,bearish,40.99,0.41,bullish,bullish,bullish,bullish,bullish,bullish,79,15,0.41,,,,,-1.34,4.15,12.93,1.97,0.0576,0.0455,0.3029,5,5,0,
NET,"Cloudflare, Inc.",CY2026Q1,2026-05-07,41.72,bullish,44.21,bullish,42.48,bullish,37.79,bullish,40.41,bullish,0.5153,-4.45,bearish,40.41,0.404,bullish,bullish,bullish,bullish,bullish,bullish,79,16.67,3.05,,,3.87,100,-15.41,-23.62,-23.07,,0.0411,-0.0358,0.1455,5,5,5,
APP,AppLovin Corp,CY2026Q1,2026-05-06,44.67,bullish,39.47,bullish,38.51,bullish,29.44,bullish,39.59,bullish,0.4767,-12.16,bearish,39.59,0.396,bullish,bullish,bullish,bullish,bullish,bullish,78,4.71,4.09,0,,3.12,-100,-2.98,6.41,3.48,,0.1113,0.6544,,4,4,3,
ORCL,ORACLE CORP,CY2026Q1,2026-03-10,38.22,bullish,40.6,bullish,43.12,bullish,19.67,bullish,32.03,bullish,0.4507,-17.36,bearish,32.03,0.32,bullish,bullish,bullish,bullish,bullish,bullish,75,6.72,1.66,-0.26,,10.82,38.46,11.37,9.18,2.34,-7.57,0.0705,0.2165,,4,5,1,
AMD,ADVANCED MICRO DEVICES INC,CY2026Q1,2026-05-05,27.83,bullish,34.32,bullish,35.54,bullish,40.36,bullish,32.01,bullish,0.4878,-9.94,bearish,32.01,0.32,bullish,bullish,bullish,bullish,bullish,bullish,75,4.72,3.57,6.67,,9.24,-100,15.26,18.61,25.4,,-0.0017,0.1349,0.2503,5,5,1,
XYZ,"Block, Inc.",CY2026Q1,2026-05-07,40.68,bullish,34.89,bullish,29.51,bullish,12.67,neutral,31.34,bullish,0.3876,-29.98,bearish,31.34,0.313,bullish,bullish,bullish,bullish,bullish,bullish,75,136.67,,,,,,7.83,6.72,0.31,,-0.0313,-0.051,0.1544,4,4,0,
META,"Meta Platforms, Inc.",CY2026Q1,2026-04-29,24.15,bullish,22.02,bullish,22.28,bullish,39.83,bullish,29.38,bullish,0.4576,-15.97,bearish,29.38,0.294,bullish,bullish,bullish,bullish,bullish,bullish,74,8.94,1.35,-0.17,,5.66,-100,-7.44,-8.55,-7.82,,-0.0598,0.4754,0.2349,5,5,4,
KO,COCA COLA CO,CY2026Q1,2026-04-28,39.06,bullish,47.14,strong_bullish,52.07,strong_bullish,6.95,neutral,28.36,bullish,0.5206,-3.38,bearish,28.36,0.284,bullish,bullish,bullish,bullish,bullish,bullish,74,6.17,1.9,,,,,0.03,0.66,1.12,,0.055,0.3146,0.1407,5,5,2,
AVGO,Broadcom Inc.,CY2026Q1,2026-03-04,20.08,bullish,22.45,bullish,23.56,bullish,39.66,bullish,26.61,bullish,0.4894,-9.61,bearish,26.61,0.266,bullish,bullish,bullish,bullish,bullish,bullish,73,5.39,1.1,7.84,,,-100,3.98,4.8,5.81,-0.98,,,,5,5,1,
VRTX,VERTEX PHARMACEUTICALS INC / MA,CY2026Q1,2026-05-04,21.64,bullish,30.52,bullish,35.07,bullish,35.37,bullish,26.22,bullish,0.5729,7.08,bullish,26.22,0.262,bullish,bullish,bullish,bullish,bullish,bullish,73,7.05,-0.1,,,336.07,-100,0.5,-1.28,4.29,,-0.0637,0.3453,0.4335,5,5,2,
CRM,"Salesforce, Inc.",CY2026Q1,2026-02-25,33.65,bullish,-3,neutral,-20.28,bearish,8.01,neutral,25.1,bullish,0.4077,-25.96,bearish,25.1,0.251,bullish,bullish,bullish,bullish,bullish,bullish,63,33.18,0.18,,,,-100,2.61,4.03,5.03,-6.49,,,,5,5,2,
MSFT,MICROSOFT CORP,CY2026Q1,2026-04-29,27.04,bullish,27.74,bullish,27.96,bullish,19.39,bullish,24.49,bullish,0.4286,-21.78,bearish,24.49,0.245,bullish,bullish,bullish,bullish,bullish,bullish,72,4.91,1.78,-0.4,,5.27,-100,-3.22,-3.93,-0.87,,0.0198,0.3834,0.1907,5,5,1,
NVDA,NVIDIA CORP,CY2026Q1,2026-02-25,24.27,bullish,-9.81,neutral,-25.88,bearish,19.77,bullish,22.77,bullish,0.4269,-22.11,bearish,22.77,0.228,bullish,bullish,bullish,bullish,bullish,bullish,62,8.28,3.92,,,,-100,-0.66,-5.46,-6.25,-14.34,,,,5,5,2,
WMT,Walmart Inc.,CY2026Q1,2026-02-19,19.85,bullish,41.82,bullish,52.19,strong_bullish,24.28,bullish,21.32,bullish,0.5588,4.25,bullish,21.32,0.213,bullish,bullish,bullish,bullish,bullish,bullish,71,1.37,1.22,,,,278.38,-1.5,-1.51,2.47,-3.32,,,,5,5,2,
UNH,UNITEDHEALTH GROUP INC,CY2026Q1,2026-04-21,28.08,bullish,24.86,bullish,23.93,bullish,-3.98,neutral,17.4,bullish,0.535,-0.5,bearish,17.4,0.174,bullish,bullish,bullish,bullish,bullish,bullish,64,11.92,1.71,,,,,1.41,2.17,7.15,,-0.0132,0.0562,0.0729,5,5,1,
AAPL,Apple Inc.,CY2026Q1,2026-04-30,13.02,neutral,4.85,neutral,8.37,neutral,10.4,neutral,12.15,bullish,0.5787,8.23,bullish,12.15,0.121,bullish,bullish,bullish,bullish,bullish,bullish,67,4.69,1.58,5.64,,-2.32,-100,2.77,3.24,8.1,,-0.2266,0.266,,5,5,3,
CMG,CHIPOTLE MEXICAN GRILL INC,CY2026Q1,2026-04-29,12.21,neutral,25.37,bullish,29.02,bullish,8.6,neutral,11.01,bullish,0.3884,-29.8,bearish,11.01,0.11,bullish,bullish,bullish,bullish,bullish,bullish,66,0,0.59,,,,,6.4,3.03,0.85,,0.0351,0.0981,0.1525,5,5,0,
QCOM,QUALCOMM INC/DE,CY2026Q1,2026-04-29,3.46,neutral,-7.63,neutral,-5.57,neutral,25.52,bullish,10.82,bullish,0.5251,-2.49,bearish,10.82,0.108,bullish,bullish,bullish,bullish,bullish,bullish,57,2.63,0.08,-5.88,,-9.43,12.82,10.29,15.12,29.84,,-0.1349,0.6953,,5,5,4,
COST,COSTCO WHOLESALE CORP /NEW,CY2026Q1,2026-03-05,9.83,neutral,11.73,neutral,12.27,neutral,6.5,neutral,8.72,bullish,0.4892,-9.66,bearish,8.72,0.087,neutral,bullish,bullish,bullish,bullish,bullish,65,0.66,0.92,,,,,-1.58,1.58,2.63,3.12,0.034,0.0292,,5,5,0,
MRK,"Merck & Co., Inc.",CY2026Q1,2026-04-30,14.04,neutral,10.51,neutral,2.81,neutral,-3.92,neutral,8.05,bullish,0.4605,-15.4,bearish,8.05,0.081,neutral,bullish,bullish,bullish,bullish,bullish,60,15.23,2.75,,,-100,100,2.89,2.73,2.02,,-0.007,-0.2603,0.1797,5,5,3,
AMAT,APPLIED MATERIALS INC /DE,CY2026Q1,2026-02-12,16.16,neutral,-15.69,neutral,-30.71,bearish,-9.82,neutral,7.5,bullish,0.388,-29.9,bearish,7.5,0.075,neutral,bullish,bullish,bullish,bullish,bullish,51,8.68,1.89,,,,-100,11.13,8.08,13.75,7.33,,,,5,5,1,
AMZN,AMAZON COM INC,CY2026Q1,2026-04-29,-1.51,neutral,-14,neutral,-12.03,neutral,20.9,bullish,5.96,bullish,0.5351,-0.49,bearish,5.96,0.06,neutral,bullish,bullish,bullish,bullish,bullish,50,-2.5,2.39,4.13,,8.25,-100,3.85,0.77,3.09,,-0.1493,0.1667,-0.1001,5,5,1,
PG,PROCTER & GAMBLE Co,CY2026Q1,2026-04-24,3.2,neutral,-2.63,neutral,-1.31,neutral,5.81,neutral,4.07,bullish,0.4833,-10.83,bearish,4.07,0.041,neutral,bullish,bullish,bullish,bullish,bullish,54,1.92,-1.32,,,-100,337.74,-0.51,0.15,-3.21,,-0.0438,0.1852,,5,5,3,
MCD,MCDONALDS CORP,CY2026Q1,2026-05-07,7.33,neutral,1.85,neutral,0.37,neutral,-9.4,neutral,1.75,bullish,0.422,-23.1,bearish,1.75,0.018,neutral,bullish,bullish,bullish,bullish,bullish,58,3.28,0.73,,,-100,-91.17,0.46,-2.8,-2.58,,-0.0701,0.3043,0.2655,5,5,2,
NOW,"ServiceNow, Inc.",CY2026Q1,2026-04-22,-2.32,neutral,21.75,bullish,28.65,bullish,0.7,neutral,-1.31,bearish,0.4489,-17.73,bearish,-1.31,-0.013,neutral,bearish,bearish,bearish,bearish,bearish,48,-10.91,0.53,,,,,-15.35,-17.75,-14.32,,0.0566,0.1244,0.4056,5,5,1,
SMCI,"Super Micro Computer, Inc.",CY2026Q1,2026-05-05,-9.77,neutral,-10.97,neutral,-7.53,neutral,15.4,neutral,-1.38,bearish,0.473,-12.91,bearish,-1.38,-0.014,neutral,bearish,bearish,bearish,bearish,bearish,58,23.64,-17.33,,,14.71,-100,12.97,24.54,14.98,,-0.1923,0.0472,,5,5,1,
SNOW,Snowflake Inc.,CY2026Q1,2026-02-25,-22.23,bearish,11.29,neutral,27.09,bullish,29.66,bullish,-4.93,bearish,0.5029,-6.92,bearish,-4.93,-0.049,neutral,bearish,bearish,bearish,bearish,bearish,50,-23.08,2.4,,,,100,5.45,2.28,4.87,-9.7,,,,5,5,2,
ABNB,"Airbnb, Inc.",CY2026Q1,2026-05-07,-20.02,bearish,-18.88,bearish,-16.62,neutral,-6.01,neutral,-15.35,bearish,0.5197,-3.55,bearish,-15.35,-0.153,bearish,bearish,bearish,bearish,bearish,bearish,68,-16.13,2.21,1.43,,32.56,-100,-1.66,0.73,-5.42,,-0.036,0.0597,,5,5,1,
ZS,"Zscaler, Inc.",CY2026Q1,2026-02-26,-39.47,bearish,-39.47,bearish,-39.47,bearish,12.14,neutral,-22.27,bearish,0.4485,-17.8,bearish,-22.27,-0.223,bearish,bearish,bearish,bearish,bearish,bearish,66,-60,2.11,,,,,-13.39,-12.17,-1.97,-17.99,,,,5,5,2,
AI,"C3.ai, Inc.",CY2026Q1,2026-02-25,-92,strong_bearish,-75,strong_bearish,-66.98,strong_bearish,-32.53,bearish,-72.18,strong_bearish,0.3913,-29.25,bearish,-72.18,-0.722,strong_bearish,bearish,bearish,bearish,bearish,bearish,92,-28.77,-29.84,-35.57,,,100,-24.44,-18.53,-8.92,-24.73,,,,4,5,4,
